From	To	Species	Gene Name
MEOX2	4223	Homo sapiens	mesenchyme homeobox 2
FYN	2534	Homo sapiens	FYN oncogene related to SRC, FGR, YES
MEOX1	4222	Homo sapiens	mesenchyme homeobox 1
BLVRB	645	Homo sapiens	biliverdin reductase B (flavin reductase (NADPH))
ZSCAN12P1	221584	Homo sapiens	zinc finger and SCAN domain containing 12-like 1
ATP5A1	498	Homo sapiens	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle
APOBEC3G	60489	Homo sapiens	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G
APOBEC3F	200316	Homo sapiens	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F
APOBEC3C	27350	Homo sapiens	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C
APOBEC3D	140564	Homo sapiens	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D
APOBEC3B	9582	Homo sapiens	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
APOBEC3A	200315	Homo sapiens	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A
TTC21A	199223	Homo sapiens	tetratricopeptide repeat domain 21A
FA2H	79152	Homo sapiens	fatty acid 2-hydroxylase
RAI14	26064	Homo sapiens	retinoic acid induced 14
NEBL	10529	Homo sapiens	nebulette
LOC201477	201477	Homo sapiens	hypothetical protein LOC201477
SEC61B	10952	Homo sapiens	Sec61 beta subunit
LSAMP	4045	Homo sapiens	limbic system-associated membrane protein
PYGO2	90780	Homo sapiens	pygopus homolog 2 (Drosophila)
SEC61G	23480	Homo sapiens	Sec61 gamma subunit
COPS7A	50813	Homo sapiens	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)
COPS7B	64708	Homo sapiens	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)
GFM2	84340	Homo sapiens	G elongation factor, mitochondrial 2
TAGAP	117289	Homo sapiens	T-cell activation RhoGTPase activating protein
GFM1	85476	Homo sapiens	G elongation factor, mitochondrial 1
OR10C1	442194	Homo sapiens	olfactory receptor, family 10, subfamily C, member 1
FN1	2335	Homo sapiens	fibronectin 1
TESC	54997	Homo sapiens	tescalcin
PCGEM1	64002	Homo sapiens	prostate-specific transcript 1 (non-protein coding)
OOEP	441161	Homo sapiens	oocyte expressed protein homolog (dog)
SPTBN5	51332	Homo sapiens	spectrin, beta, non-erythrocytic 5
SPTBN4	57731	Homo sapiens	spectrin, beta, non-erythrocytic 4
UBOX5	22888	Homo sapiens	U-box domain containing 5
TET2	54790	Homo sapiens	tet oncogene family member 2
TET1	80312	Homo sapiens	tet oncogene 1
PLEKHA4	57664	Homo sapiens	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4
PPIF	10105	Homo sapiens	peptidylprolyl isomerase F
PPIE	10450	Homo sapiens	peptidylprolyl isomerase E (cyclophilin E)
PLEKHA3	65977	Homo sapiens	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3
TET3	200424	Homo sapiens	tet oncogene family member 3
PPIH	10465	Homo sapiens	peptidylprolyl isomerase H (cyclophilin H)
PLEKHA6	22874	Homo sapiens	pleckstrin homology domain containing, family A member 6
PPIG	9360	Homo sapiens	peptidylprolyl isomerase G (cyclophilin G)
PLEKHA5	54477	Homo sapiens	pleckstrin homology domain containing, family A member 5
PLEKHA8	84725	Homo sapiens	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8
PPIB	5479	Homo sapiens	peptidylprolyl isomerase B (cyclophilin B)
FLG	2312	Homo sapiens	filaggrin
PLEKHA7	144100	Homo sapiens	pleckstrin homology domain containing, family A member 7
PPIA	653214	Homo sapiens	similar to TRIMCyp; peptidylprolyl isomerase A (cyclophilin A); peptidylprolyl isomerase A (cyclophilin A)-like 3
PPIA	439953	Homo sapiens	similar to TRIMCyp; peptidylprolyl isomerase A (cyclophilin A); peptidylprolyl isomerase A (cyclophilin A)-like 3
PPIA	5478	Homo sapiens	similar to TRIMCyp; peptidylprolyl isomerase A (cyclophilin A); peptidylprolyl isomerase A (cyclophilin A)-like 3
PPID	5481	Homo sapiens	peptidylprolyl isomerase D
PPIC	5480	Homo sapiens	peptidylprolyl isomerase C (cyclophilin C)
SPTBN2	6712	Homo sapiens	spectrin, beta, non-erythrocytic 2
SPTBN1	6711	Homo sapiens	spectrin, beta, non-erythrocytic 1
ANTXR2	118429	Homo sapiens	anthrax toxin receptor 2
ANTXR1	84168	Homo sapiens	anthrax toxin receptor 1
SCMH1	22955	Homo sapiens	sex comb on midleg homolog 1 (Drosophila)
PHPT1	29085	Homo sapiens	phosphohistidine phosphatase 1
PLEKHA2	59339	Homo sapiens	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
FLJ39534	285352	Homo sapiens	hypothetical FLJ39534
PLEKHA1	59338	Homo sapiens	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
SGPP1	81537	Homo sapiens	sphingosine-1-phosphate phosphatase 1
SGPP2	130367	Homo sapiens	sphingosine-1-phosphate phosphotase 2
PPOX	5498	Homo sapiens	protoporphyrinogen oxidase
CBFA2T3	863	Homo sapiens	core-binding factor, runt domain, alpha subunit 2; translocated to, 3
CBFA2T2	9139	Homo sapiens	core-binding factor, runt domain, alpha subunit 2; translocated to, 2
PLEKHB2	55041	Homo sapiens	pleckstrin homology domain containing, family B (evectins) member 2
FOS	2353	Homo sapiens	v-fos FBJ murine osteosarcoma viral oncogene homolog
PLEKHB1	58473	Homo sapiens	pleckstrin homology domain containing, family B (evectins) member 1
EXOC3L2	90332	Homo sapiens	exocyst complex component 3-like 2
ACOT11	26027	Homo sapiens	acyl-CoA thioesterase 11
ACOT12	134526	Homo sapiens	acyl-CoA thioesterase 12
ACOT13	55856	Homo sapiens	acyl-CoA thioesterase 13
OSTalpha	200931	Homo sapiens	organic solute transporter alpha
MDN1	23195	Homo sapiens	MDN1, midasin homolog (yeast)
TERT	7015	Homo sapiens	telomerase reverse transcriptase
NLRP7	199713	Homo sapiens	NLR family, pyrin domain containing 7
TTC23L	153657	Homo sapiens	tetratricopeptide repeat domain 23-like
NLRP6	171389	Homo sapiens	NLR family, pyrin domain containing 6
NLRP5	126206	Homo sapiens	NLR family, pyrin domain containing 5
PARM1	25849	Homo sapiens	DKFZP564O0823 protein
NLRP4	147945	Homo sapiens	NLR family, pyrin domain containing 4
CAMK1G	57172	Homo sapiens	calcium/calmodulin-dependent protein kinase IG
PPAP2C	8612	Homo sapiens	phosphatidic acid phosphatase type 2C
RALBP1	100129773	Homo sapiens	hypothetical LOC100129773; ralA binding protein 1
RALBP1	10928	Homo sapiens	hypothetical LOC100129773; ralA binding protein 1
NLRP9	338321	Homo sapiens	NLR family, pyrin domain containing 9
NLRP8	126205	Homo sapiens	NLR family, pyrin domain containing 8
NLRP3	114548	Homo sapiens	NLR family, pyrin domain containing 3
NLRP2	55655	Homo sapiens	NLR family, pyrin domain containing 2
NLRP1	22861	Homo sapiens	NLR family, pyrin domain containing 1
OR10J1	26476	Homo sapiens	olfactory receptor, family 10, subfamily J, member 1
ZMIZ2	83637	Homo sapiens	zinc finger, MIZ-type containing 2
ZMIZ1	57178	Homo sapiens	zinc finger, MIZ-type containing 1
MDM2	4193	Homo sapiens	Mdm2 p53 binding protein homolog (mouse)
MDM4	4194	Homo sapiens	Mdm4 p53 binding protein homolog (mouse)
MDM1	56890	Homo sapiens	Mdm1 nuclear protein homolog (mouse)
CAMK1D	57118	Homo sapiens	calcium/calmodulin-dependent protein kinase ID
CUEDC2	79004	Homo sapiens	CUE domain containing 2
FRK	2444	Homo sapiens	fyn-related kinase
CAMK2G	818	Homo sapiens	calcium/calmodulin-dependent protein kinase II gamma
TIPARP	25976	Homo sapiens	TCDD-inducible poly(ADP-ribose) polymerase
ENDOU	8909	Homo sapiens	26 serine protease
HINFP	25988	Homo sapiens	histone H4 transcription factor
CAMK2D	817	Homo sapiens	calcium/calmodulin-dependent protein kinase II delta
TEPP	374739	Homo sapiens	testis, prostate and placenta expressed
NEFH	4744	Homo sapiens	neurofilament, heavy polypeptide
CAMK2B	816	Homo sapiens	calcium/calmodulin-dependent protein kinase II beta
GFI1	2672	Homo sapiens	growth factor independent 1 transcription repressor
PPAP2A	8611	Homo sapiens	phosphatidic acid phosphatase type 2A
PPAP2B	8613	Homo sapiens	phosphatidic acid phosphatase type 2B
CAMK2A	815	Homo sapiens	calcium/calmodulin-dependent protein kinase II alpha
NEFL	4747	Homo sapiens	neurofilament, light polypeptide
NEFM	4741	Homo sapiens	neurofilament, medium polypeptide
PPWD1	23398	Homo sapiens	peptidylprolyl isomerase domain and WD repeat containing 1
OR10H1	26539	Homo sapiens	olfactory receptor, family 10, subfamily H, member 1
PARK2	5071	Homo sapiens	Parkinson disease (autosomal recessive, juvenile) 2, parkin
PARK7	11315	Homo sapiens	Parkinson disease (autosomal recessive, early onset) 7
OR10H3	26532	Homo sapiens	olfactory receptor, family 10, subfamily H, member 3
AMMECR1L	83607	Homo sapiens	AMME chromosomal region gene 1-like
OR10H2	26538	Homo sapiens	olfactory receptor, family 10, subfamily H, member 2
ATXN1	6310	Homo sapiens	ataxin 1
ATXN2	6311	Homo sapiens	ataxin 2
ATXN3	4287	Homo sapiens	ataxin 3
ATXN7	6314	Homo sapiens	ataxin 7
ENDOG	2021	Homo sapiens	endonuclease G
PECAM1	5175	Homo sapiens	platelet/endothelial cell adhesion molecule
TEP1	7011	Homo sapiens	telomerase-associated protein 1
BMPR1B	658	Homo sapiens	bone morphogenetic protein receptor, type IB
CUEDC1	404093	Homo sapiens	CUE domain containing 1
BMPR1A	643778	Homo sapiens	bone morphogenetic protein receptor, type IA; similar to ALK-3
BMPR1A	657	Homo sapiens	bone morphogenetic protein receptor, type IA; similar to ALK-3
RPL14	9045	Homo sapiens	ribosomal protein L14
RPL13	6137	Homo sapiens	ribosomal protein L13 pseudogene 12; ribosomal protein L13
RPL13	388344	Homo sapiens	ribosomal protein L13 pseudogene 12; ribosomal protein L13
RPL15	728002	Homo sapiens	ribosomal protein L15 pseudogene 22; ribosomal protein L15 pseudogene 18; ribosomal protein L15 pseudogene 17; ribosomal protein L15 pseudogene 3; ribosomal protein L15 pseudogene 7; ribosomal protein L15
RPL15	728088	Homo sapiens	ribosomal protein L15 pseudogene 22; ribosomal protein L15 pseudogene 18; ribosomal protein L15 pseudogene 17; ribosomal protein L15 pseudogene 3; ribosomal protein L15 pseudogene 7; ribosomal protein L15
RPL15	100130624	Homo sapiens	ribosomal protein L15 pseudogene 22; ribosomal protein L15 pseudogene 18; ribosomal protein L15 pseudogene 17; ribosomal protein L15 pseudogene 3; ribosomal protein L15 pseudogene 7; ribosomal protein L15
RPL15	728576	Homo sapiens	ribosomal protein L15 pseudogene 22; ribosomal protein L15 pseudogene 18; ribosomal protein L15 pseudogene 17; ribosomal protein L15 pseudogene 3; ribosomal protein L15 pseudogene 7; ribosomal protein L15
RPL15	653232	Homo sapiens	ribosomal protein L15 pseudogene 22; ribosomal protein L15 pseudogene 18; ribosomal protein L15 pseudogene 17; ribosomal protein L15 pseudogene 3; ribosomal protein L15 pseudogene 7; ribosomal protein L15
RPL15	6138	Homo sapiens	ribosomal protein L15 pseudogene 22; ribosomal protein L15 pseudogene 18; ribosomal protein L15 pseudogene 17; ribosomal protein L15 pseudogene 3; ribosomal protein L15 pseudogene 7; ribosomal protein L15
PVRIG	79037	Homo sapiens	poliovirus receptor related immunoglobulin domain containing
ACBD6	84320	Homo sapiens	acyl-Coenzyme A binding domain containing 6
ACBD5	91452	Homo sapiens	acyl-Coenzyme A binding domain containing 5
ACBD4	79777	Homo sapiens	acyl-Coenzyme A binding domain containing 4
ACBD3	64746	Homo sapiens	acyl-Coenzyme A binding domain containing 3
IGLV6-57	28778	Homo sapiens	immunoglobulin lambda variable 6-57
AIF1L	83543	Homo sapiens	allograft inflammatory factor 1-like
RPL10	285176	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
RPL10	6134	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
RPL10	389342	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
RPL10	284393	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
RPL10	100129975	Homo sapiens	ribosomal protein L10; ribosomal protein L10 pseudogene 15; ribosomal protein L10 pseudogene 6; ribosomal protein L10 pseudogene 16; ribosomal protein L10 pseudogene 9
RPL11	6135	Homo sapiens	ribosomal protein L11
AUP1	550	Homo sapiens	ancient ubiquitous protein 1
PTPRJ	5795	Homo sapiens	protein tyrosine phosphatase, receptor type, J
OPA3	80207	Homo sapiens	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)
PTPRK	5796	Homo sapiens	protein tyrosine phosphatase, receptor type, K
OR2S2	56656	Homo sapiens	olfactory receptor, family 2, subfamily S, member 2
OPA1	4976	Homo sapiens	optic atrophy 1 (autosomal dominant)
PTPRM	5797	Homo sapiens	protein tyrosine phosphatase, receptor type, M
PTPRF	5792	Homo sapiens	protein tyrosine phosphatase, receptor type, F
FAM108C1	58489	Homo sapiens	family with sequence similarity 108, member C1
PTPRG	5793	Homo sapiens	protein tyrosine phosphatase, receptor type, G
PTPRH	5794	Homo sapiens	protein tyrosine phosphatase, receptor type, H
PTPRR	5801	Homo sapiens	protein tyrosine phosphatase, receptor type, R
PTPRS	5802	Homo sapiens	protein tyrosine phosphatase, receptor type, S
PTPRT	11122	Homo sapiens	protein tyrosine phosphatase, receptor type, T
PTPRU	10076	Homo sapiens	protein tyrosine phosphatase, receptor type, U
PTPRN	5798	Homo sapiens	protein tyrosine phosphatase, receptor type, N
PTPRO	5800	Homo sapiens	protein tyrosine phosphatase, receptor type, O
LOC285084	285084	Homo sapiens	hypothetical protein LOC285084
FAM108B1	51104	Homo sapiens	family with sequence similarity 108, member B1
ACADSB	36	Homo sapiens	acyl-Coenzyme A dehydrogenase, short/branched chain
ATP5SL	55101	Homo sapiens	ATP5S-like
HFE	3077	Homo sapiens	hemochromatosis
PPT2	9374	Homo sapiens	palmitoyl-protein thioesterase 2
PPT1	5538	Homo sapiens	palmitoyl-protein thioesterase 1
SDHAF2	54949	Homo sapiens	chromosome 11 open reading frame 79
SDHAF1	644096	Homo sapiens	succinate dehydrogenase complex assembly factor 1
MANF	7873	Homo sapiens	mesencephalic astrocyte-derived neurotrophic factor
URGCP	55665	Homo sapiens	up-regulated gene 4
PVRL4	81607	Homo sapiens	poliovirus receptor-related 4
LOC401463	401463	Homo sapiens	hypothetical LOC401463
PVRL1	5818	Homo sapiens	poliovirus receptor-related 1 (herpesvirus entry mediator C)
LOC285095	285095	Homo sapiens	hypothetical LOC285095
PVRL2	5819	Homo sapiens	poliovirus receptor-related 2 (herpesvirus entry mediator B)
UNC45B	146862	Homo sapiens	unc-45 homolog B (C. elegans)
MEPCE	56257	Homo sapiens	methylphosphate capping enzyme
UNC45A	55898	Homo sapiens	unc-45 homolog A (C. elegans)
RANBP17	64901	Homo sapiens	RAN binding protein 17
NPLOC4	55666	Homo sapiens	nuclear protein localization 4 homolog (S. cerevisiae)
MAOA	4128	Homo sapiens	monoamine oxidase A
MAOB	4129	Homo sapiens	monoamine oxidase B
HGD	3081	Homo sapiens	homogentisate 1,2-dioxygenase (homogentisate oxidase)
HGF	3082	Homo sapiens	hepatocyte growth factor (hepapoietin A; scatter factor)
HSPA12A	259217	Homo sapiens	heat shock 70kDa protein 12A
HSPA12B	116835	Homo sapiens	heat shock 70kD protein 12B
MAP2	4133	Homo sapiens	microtubule-associated protein 2
HGS	9146	Homo sapiens	hepatocyte growth factor-regulated tyrosine kinase substrate
MAP4	4134	Homo sapiens	microtubule-associated protein 4
MAP7	9053	Homo sapiens	microtubule-associated protein 7
MAP6	4135	Homo sapiens	microtubule-associated protein 6
MAP9	79884	Homo sapiens	microtubule-associated protein 9
RANBP10	57610	Homo sapiens	RAN binding protein 10
ASPDH	554235	Homo sapiens	aspartate dehydrogenase domain containing
HLF	3131	Homo sapiens	hepatic leukemia factor
UFC1	51506	Homo sapiens	ubiquitin-fold modifier conjugating enzyme 1
COPB2	9276	Homo sapiens	coatomer protein complex, subunit beta 2 (beta prime)
ADCK1	57143	Homo sapiens	aarF domain containing kinase 1
POMGNT1	55624	Homo sapiens	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
ADCK2	90956	Homo sapiens	aarF domain containing kinase 2
HLX	3142	Homo sapiens	H2.0-like homeobox
MAPT	4137	Homo sapiens	microtubule-associated protein tau
COPB1	1315	Homo sapiens	coatomer protein complex, subunit beta 1
LOC401442	401442	Homo sapiens	hypothetical LOC401442
ADCK4	79934	Homo sapiens	aarF domain containing kinase 4
ADCK5	203054	Homo sapiens	aarF domain containing kinase 5
ARHGEF4	50649	Homo sapiens	Rho guanine nucleotide exchange factor (GEF) 4
GUSBP1	375513	Homo sapiens	glucuronidase, beta-like 2; glucuronidase, beta pseudogene
GUSBP1	728411	Homo sapiens	glucuronidase, beta-like 2; glucuronidase, beta pseudogene
ARHGEF3	50650	Homo sapiens	Rho guanine nucleotide exchange factor (GEF) 3
ARHGEF2	9181	Homo sapiens	Rho/Rac guanine nucleotide exchange factor (GEF) 2
ARHGEF1	9138	Homo sapiens	Rho guanine nucleotide exchange factor (GEF) 1
ARHGEF7	8874	Homo sapiens	Rho guanine nucleotide exchange factor (GEF) 7
ARHGEF6	9459	Homo sapiens	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
GMEB2	26205	Homo sapiens	glucocorticoid modulatory element binding protein 2
ARHGEF5	7984	Homo sapiens	Rho guanine nucleotide exchange factor (GEF) 5
GMEB1	10691	Homo sapiens	glucocorticoid modulatory element binding protein 1
LOC729506	729506	Homo sapiens	hypothetical LOC729506
HN1	51155	Homo sapiens	hematological and neurological expressed 1
ARHGEF9	100134381	Homo sapiens	Cdc42 guanine nucleotide exchange factor (GEF) 9; hypothetical protein LOC100134381
ARHGEF9	23229	Homo sapiens	Cdc42 guanine nucleotide exchange factor (GEF) 9; hypothetical protein LOC100134381
OR2W1	26692	Homo sapiens	olfactory receptor, family 2, subfamily W, member 1
LOC645188	645188	Homo sapiens	hypothetical LOC645188
CYBRD1	79901	Homo sapiens	cytochrome b reductase 1
RPL3L	6123	Homo sapiens	ribosomal protein L3-like
LOC401431	401431	Homo sapiens	hypothetical LOC401431
GANAB	23193	Homo sapiens	glucosidase, alpha; neutral AB
HK2	642546	Homo sapiens	hexokinase 2 pseudogene; hexokinase 2
HK2	3099	Homo sapiens	hexokinase 2 pseudogene; hexokinase 2
GNG13	51764	Homo sapiens	guanine nucleotide binding protein (G protein), gamma 13
HK1	3098	Homo sapiens	hexokinase 1
NLRX1	79671	Homo sapiens	NLR family member X1
RPL36	347292	Homo sapiens	ribosomal protein L36; ribosomal protein L36 pseudogene 14
RPL36	25873	Homo sapiens	ribosomal protein L36; ribosomal protein L36 pseudogene 14
GNG11	2791	Homo sapiens	guanine nucleotide binding protein (G protein), gamma 11
RPL38	6169	Homo sapiens	ribosomal protein L38
GNG12	55970	Homo sapiens	guanine nucleotide binding protein (G protein), gamma 12
RPL30	6156	Homo sapiens	ribosomal protein L30
MTCP1NB	4515	Homo sapiens	mature T-cell proliferation 1 neighbor; mature T-cell proliferation 1
MTCP1NB	100272147	Homo sapiens	mature T-cell proliferation 1 neighbor; mature T-cell proliferation 1
HPSE2	60495	Homo sapiens	heparanase 2
RPL31	100129882	Homo sapiens	ribosomal protein L31 pseudogene 49; ribosomal protein L31 pseudogene 17; ribosomal protein L31
RPL31	6160	Homo sapiens	ribosomal protein L31 pseudogene 49; ribosomal protein L31 pseudogene 17; ribosomal protein L31
RPL31	653773	Homo sapiens	ribosomal protein L31 pseudogene 49; ribosomal protein L31 pseudogene 17; ribosomal protein L31
HK3	3101	Homo sapiens	hexokinase 3 (white cell)
